"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8546","Check static data on NGF Marathon","ngf-tests","Thu May 28 13:44:52 UTC 2026","passed","Thu May 28 13:45:00 UTC 2026","","ngf.test.js","",""
"","15024","Check static data on NGF Borderlands 4","ngf-tests","Thu May 28 13:44:18 UTC 2026","passed","Thu May 28 13:44:33 UTC 2026","","ngf.test.js","",""
"","29198","Create a tier-list page on ZZZ project","ngf-tests","Thu May 28 13:39:30 UTC 2026","passed","Thu May 28 13:39:59 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","16989","View mode of the ""/qa-not-delete-st-page"" structure page is available for the Admin role","ngf-tests","Thu May 28 13:41:25 UTC 2026","passed","Thu May 28 13:41:42 UTC 2026","Admin permission","ngf.test.js","",""
"","26461","Create a build page on ZZZ project","ngf-tests","Thu May 28 13:35:08 UTC 2026","passed","Thu May 28 13:35:34 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","14654","Checking ""New Games"" in the navbar on https://mobalytics.gg","ngf-tests","Thu May 28 13:31:48 UTC 2026","passed","Thu May 28 13:32:03 UTC 2026","","ngf.test.js","",""
"","31707","Create a structure page on MHW project","ngf-tests","Thu May 28 13:33:43 UTC 2026","passed","Thu May 28 13:34:14 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","32324","Create a structure page on PoE project","ngf-tests","Thu May 28 13:33:23 UTC 2026","passed","Thu May 28 13:33:55 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","15794","Check static data on NGF Monster Hunter Wilds","ngf-tests","Thu May 28 13:44:16 UTC 2026","passed","Thu May 28 13:44:32 UTC 2026","","ngf.test.js","",""
"","28108","Create a structure page on Bazaar project","ngf-tests","Thu May 28 13:33:55 UTC 2026","passed","Thu May 28 13:34:23 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","27730","Create a structure page on Marvel Rivals project","ngf-tests","Thu May 28 13:34:11 UTC 2026","passed","Thu May 28 13:34:39 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","28901","Create a tier-list page on STS 2 project","ngf-tests","Thu May 28 13:40:47 UTC 2026","passed","Thu May 28 13:41:16 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","2962","Error validation: 404 status code & title on NGF page","others-tests","Thu May 28 13:44:56 UTC 2026","passed","Thu May 28 13:44:59 UTC 2026","","others.test.js","",""
