"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1672","Create a tier list page on 2xko project","ngf-tests","Tue Nov 11 12:36:14 UTC 2025","skipped","Tue Nov 11 12:36:15 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","7479","St Widget contains ""Edit"" button, ""Delete"" button & ""Create Page"" button is present on ST Admin page for Admin role","ngf-tests","Tue Nov 11 12:38:23 UTC 2025","passed","Tue Nov 11 12:38:31 UTC 2025","Admin permission","ngf.test.js","",""
"","24707","Check static data on NGF Monster Hunter Wilds","ngf-tests","Tue Nov 11 12:41:12 UTC 2025","passed","Tue Nov 11 12:41:36 UTC 2025","","ngf.test.js","",""
"","18068","Create a guide page on Nightreign project","ngf-tests","Tue Nov 11 12:33:48 UTC 2025","passed","Tue Nov 11 12:34:06 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","50850","Create a guide page on TFT project","ngf-tests","Tue Nov 11 12:34:03 UTC 2025","passed","Tue Nov 11 12:34:54 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","716","Checking sitemap for Destiny 2 game on https://mobalytics.gg/sitemap.xml","sitemap-tests","Tue Nov 11 12:28:14 UTC 2025","passed","Tue Nov 11 12:28:15 UTC 2025","","sitemap.test.js","",""
"","8990","View mode of the ""/qa-not-delete-st-page"" structure page is available for the Admin role","ngf-tests","Tue Nov 11 12:38:25 UTC 2025","passed","Tue Nov 11 12:38:34 UTC 2025","Admin permission","ngf.test.js","",""
"","38291","Create a tier list page on Nightreign project","ngf-tests","Tue Nov 11 12:37:15 UTC 2025","passed","Tue Nov 11 12:37:53 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","2261","Check API admin permission","ngf-tests","Tue Nov 11 12:39:56 UTC 2025","passed","Tue Nov 11 12:39:58 UTC 2025","Admin permission","ngf.test.js","",""
"","55055","Create a structure page on Valorant project","ngf-tests","Tue Nov 11 12:28:27 UTC 2025","passed","Tue Nov 11 12:29:22 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","818","Checking sitemap for Valorant game on https://mobalytics.gg/sitemap.xml","sitemap-tests","Tue Nov 11 12:28:13 UTC 2025","passed","Tue Nov 11 12:28:14 UTC 2025","","sitemap.test.js","",""
"","12104","Check the availability of advertising blocks for Marvel Rivals game","advertisement-tests","Tue Nov 11 12:27:45 UTC 2025","passed","Tue Nov 11 12:27:57 UTC 2025","","advertisement.test.js","",""
"","39109","Create a guide page on Bazaar project","ngf-tests","Tue Nov 11 12:35:34 UTC 2025","passed","Tue Nov 11 12:36:14 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","4332","Internal Writer role has NO access to the control panel","ngf-tests","Tue Nov 11 12:39:58 UTC 2025","passed","Tue Nov 11 12:40:03 UTC 2025","Internal Writer permission","ngf.test.js","",""
"","566","Checking sitemap for Diablo 4 game on https://mobalytics.gg/sitemap.xml","sitemap-tests","Tue Nov 11 12:28:15 UTC 2025","passed","Tue Nov 11 12:28:15 UTC 2025","","sitemap.test.js","",""
"","45351","Create a tier list page on PoE project","ngf-tests","Tue Nov 11 12:37:01 UTC 2025","passed","Tue Nov 11 12:37:47 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","4908","Check the availability of advertising blocks for LoL game","advertisement-tests","Tue Nov 11 12:28:06 UTC 2025","passed","Tue Nov 11 12:28:11 UTC 2025","","advertisement.test.js","",""
"","28606","Create a tier list page on TFT project","ngf-tests","Tue Nov 11 12:36:15 UTC 2025","passed","Tue Nov 11 12:36:44 UTC 2025","Creating UG Pages","ngf.test.js","",""
