"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7210","View mode of the ""/qa-not-delete-st-page"" structure page is available for the Game Manager role","ngf-chromium","Fri Jun 20 18:14:42 GMT 2025","passed","Fri Jun 20 18:14:49 GMT 2025","Checking role permissions > Game Manager permission","tests/ngf.test.js","",""
"","8932","""New Game"" is present in the navbar on STG","ngf-firefox","Fri Jun 20 18:14:51 GMT 2025","passed","Fri Jun 20 18:15:00 GMT 2025","","tests/ngf.test.js","",""
"","12543","Create a guide page on PoE project","ngf-chromium","Fri Jun 20 18:13:43 GMT 2025","passed","Fri Jun 20 18:13:55 GMT 2025","Creating UG Pages","tests/ngf.test.js","",""
"","6109","St Widget contains ""Edit"" button, ""Delete"" button & ""Create Page"" button is present on ST page for Admin role","ngf-firefox","Fri Jun 20 18:16:34 GMT 2025","passed","Fri Jun 20 18:16:41 GMT 2025","Checking role permissions > Admin permission","tests/ngf.test.js","",""
"","482","Destiny 2 link is present on sitemap","sitemap-tests","Fri Jun 20 18:12:50 GMT 2025","passed","Fri Jun 20 18:12:51 GMT 2025","","tests/sitemap.test.js","",""
"","15554","Game Manager role has access to the Admin ST page","ngf-firefox","Fri Jun 20 18:17:18 GMT 2025","passed","Fri Jun 20 18:17:34 GMT 2025","Checking role permissions > Game Manager permission","tests/ngf.test.js","",""
"","12815","Create a build page on MHW project","ngf-chromium","Fri Jun 20 18:13:30 GMT 2025","passed","Fri Jun 20 18:13:43 GMT 2025","Creating UG Pages","tests/ngf.test.js","",""
"","612","Valorant link is present on sitemap","sitemap-tests","Fri Jun 20 18:12:50 GMT 2025","passed","Fri Jun 20 18:12:50 GMT 2025","","tests/sitemap.test.js","",""
"","12818","Game Manager role can't archive, duplicate ST pages","ngf-firefox","Fri Jun 20 18:17:34 GMT 2025","passed","Fri Jun 20 18:17:47 GMT 2025","Checking role permissions > Game Manager permission","tests/ngf.test.js","",""
"","25833","Create a structure page on Nightreign project","ngf-firefox","Fri Jun 20 18:14:56 GMT 2025","passed","Fri Jun 20 18:15:22 GMT 2025","Creating ST Pages","tests/ngf.test.js","",""
"","16893","Admin role is allowed to publish structure pages","ngf-chromium","Fri Jun 20 18:14:14 GMT 2025","passed","Fri Jun 20 18:14:31 GMT 2025","Checking role permissions > Admin permission","tests/ngf.test.js","",""
"","13205","Create a guide page on Marvel Rivals project","ngf-firefox","Fri Jun 20 18:16:19 GMT 2025","passed","Fri Jun 20 18:16:32 GMT 2025","Creating UG Pages","tests/ngf.test.js","",""
"","4613","St Widget contains ""Edit"" button, ""Delete"" button & ""Create Page"" button is present on ST page for Admin role","ngf-chromium","Fri Jun 20 18:14:05 GMT 2025","passed","Fri Jun 20 18:14:10 GMT 2025","Checking role permissions > Admin permission","tests/ngf.test.js","",""
"","428","Bazaar link is present on sitemap","sitemap-tests","Fri Jun 20 18:12:51 GMT 2025","passed","Fri Jun 20 18:12:51 GMT 2025","","tests/sitemap.test.js","",""
"","10540","Create a build page on ZZZ project","ngf-chromium","Fri Jun 20 18:13:19 GMT 2025","passed","Fri Jun 20 18:13:30 GMT 2025","Creating UG Pages","tests/ngf.test.js","",""
"","5396","""New Game"" is missing in the navbar on PROD","ngf-chromium","Fri Jun 20 18:12:52 GMT 2025","passed","Fri Jun 20 18:12:58 GMT 2025","","tests/ngf.test.js","",""
"","6877","Game Manager role can't archive, duplicate ST pages","ngf-chromium","Fri Jun 20 18:14:43 GMT 2025","passed","Fri Jun 20 18:14:49 GMT 2025","Checking role permissions > Game Manager permission","tests/ngf.test.js","",""
"","24469","Admin role is allowed to publish structure pages","ngf-firefox","Fri Jun 20 18:16:46 GMT 2025","passed","Fri Jun 20 18:17:10 GMT 2025","Checking role permissions > Admin permission","tests/ngf.test.js","",""
"","11164","Admin role has access to SEO modal on the structure pages","ngf-firefox","Fri Jun 20 18:16:59 GMT 2025","passed","Fri Jun 20 18:17:10 GMT 2025","Checking role permissions > Admin permission","tests/ngf.test.js","",""
"","5825","St Widget contains only ""Edit"" button & ""Create Page"" button is missing on ST page for Game Manager role","ngf-chromium","Fri Jun 20 18:14:37 GMT 2025","passed","Fri Jun 20 18:14:43 GMT 2025","Checking role permissions > Game Manager permission","tests/ngf.test.js","",""
"","14502","Create a build page on Deadlock project","ngf-firefox","Fri Jun 20 18:16:11 GMT 2025","passed","Fri Jun 20 18:16:25 GMT 2025","Creating UG Pages","tests/ngf.test.js","",""
"","7380","Game Manager role can't publish ST pages","ngf-chromium","Fri Jun 20 18:14:42 GMT 2025","passed","Fri Jun 20 18:14:49 GMT 2025","Checking role permissions > Game Manager permission","tests/ngf.test.js","",""
"","5017","Internal Writer role has NO access to the Admin ST page","ngf-chromium","Fri Jun 20 18:14:31 GMT 2025","passed","Fri Jun 20 18:14:36 GMT 2025","Checking role permissions > Internal Writer permission","tests/ngf.test.js","",""
