"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","543","Sitemap: https://mobalytics.gg/tft/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:00 UTC 2025","passed","Fri Dec 12 13:11:00 UTC 2025","","sitemap.test.js","",""
"","27532","Create a structure page on Borderlands 4 project","ngf-tests","Fri Dec 12 13:13:01 UTC 2025","passed","Fri Dec 12 13:13:29 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","28428","Create a team page on ZZZ project","ngf-tests","Fri Dec 12 13:18:03 UTC 2025","passed","Fri Dec 12 13:18:32 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","8527","Check the availability of advertisement blocks for Nightreign game","advertisement-tests","Fri Dec 12 13:10:28 UTC 2025","passed","Fri Dec 12 13:10:37 UTC 2025","","advertisement.test.js","",""
"","24036","Game Manager role can can upload an image to CDN on the ug page","ngf-tests","Fri Dec 12 13:19:47 UTC 2025","passed","Fri Dec 12 13:20:11 UTC 2025","Game Manager permission","ngf.test.js","",""
"","31359","Create a structure page on MHW project","ngf-tests","Fri Dec 12 13:12:26 UTC 2025","passed","Fri Dec 12 13:12:57 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","34024","Change account name","account-tests","Fri Dec 12 13:09:55 UTC 2025","passed","Fri Dec 12 13:10:29 UTC 2025","","account.test.js","",""
"","513","setup game manager","setup","Fri Dec 12 13:09:53 UTC 2025","passed","Fri Dec 12 13:09:53 UTC 2025","","setup/auth.setup.test.js","",""
"","710","Sitemap: https://mobalytics.gg/tft/set16/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:00 UTC 2025","passed","Fri Dec 12 13:11:01 UTC 2025","","sitemap.test.js","",""
"","1796","Checking sitemap for all projects in the list on https://mobalytics.gg/sitemap.xml","sitemap-tests","Fri Dec 12 13:10:57 UTC 2025","passed","Fri Dec 12 13:10:59 UTC 2025","","sitemap.test.js","",""
"","19210","Create a guide page on The Bazaar project","ngf-tests","Fri Dec 12 13:16:26 UTC 2025","passed","Fri Dec 12 13:16:46 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","31712","Create a build page on PoE project","ngf-tests","Fri Dec 12 13:14:40 UTC 2025","passed","Fri Dec 12 13:15:12 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","15674","Check static data on NGF PoE","ngf-tests","Fri Dec 12 13:20:31 UTC 2025","passed","Fri Dec 12 13:20:46 UTC 2025","","ngf.test.js","",""
"","132","Sitemap: https://mobalytics.gg/riftbound/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:05 UTC 2025","skipped","Fri Dec 12 13:11:05 UTC 2025","","sitemap.test.js","",""
"","26249","Create a guide page on PoE 2 project","ngf-tests","Fri Dec 12 13:16:15 UTC 2025","passed","Fri Dec 12 13:16:41 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","21524","Create a build page on The Bazaar project","ngf-tests","Fri Dec 12 13:14:42 UTC 2025","passed","Fri Dec 12 13:15:04 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","17022","Create a deck page on Riftbound project","ngf-tests","Fri Dec 12 13:18:14 UTC 2025","passed","Fri Dec 12 13:18:31 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","12690","Check the availability of advertisement blocks for Diablo 4 game","advertisement-tests","Fri Dec 12 13:10:27 UTC 2025","passed","Fri Dec 12 13:10:40 UTC 2025","","advertisement.test.js","",""
"","38004","Admin role can edit the structure page","ngf-tests","Fri Dec 12 13:18:31 UTC 2025","passed","Fri Dec 12 13:19:09 UTC 2025","Admin permission","ngf.test.js","",""
"","27347","Create a structure page on Hades 2 project","ngf-tests","Fri Dec 12 13:12:57 UTC 2025","passed","Fri Dec 12 13:13:25 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","9686","View mode of the ""/qa-not-delete-st-page"" structure page is available for the Game Manager role","ngf-tests","Fri Dec 12 13:19:35 UTC 2025","passed","Fri Dec 12 13:19:45 UTC 2025","Game Manager permission","ngf.test.js","",""
"","28531","Create a structure page on Diablo 4 project","ngf-tests","Fri Dec 12 13:11:08 UTC 2025","passed","Fri Dec 12 13:11:37 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","21216","Admin role can delete the structure page on the ST page","ngf-tests","Fri Dec 12 13:18:32 UTC 2025","passed","Fri Dec 12 13:18:53 UTC 2025","Admin permission","ngf.test.js","",""
"","22945","Create a tier-list page on Hades 2 project","ngf-tests","Fri Dec 12 13:17:25 UTC 2025","passed","Fri Dec 12 13:17:48 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","21308","Create a guide page on Destiny 2 project","ngf-tests","Fri Dec 12 13:15:49 UTC 2025","passed","Fri Dec 12 13:16:10 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","31898","Create a structure page on PoE project","ngf-tests","Fri Dec 12 13:12:03 UTC 2025","passed","Fri Dec 12 13:12:35 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","8702","Check the availability of advertisement blocks for Destiny 2 game","advertisement-tests","Fri Dec 12 13:10:33 UTC 2025","passed","Fri Dec 12 13:10:41 UTC 2025","","advertisement.test.js","",""
"","26010","Create a tier-list page on Nightreign project","ngf-tests","Fri Dec 12 13:17:14 UTC 2025","passed","Fri Dec 12 13:17:40 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","9159","Internal Writer role has NO access to the control panel","ngf-tests","Fri Dec 12 13:19:20 UTC 2025","passed","Fri Dec 12 13:19:29 UTC 2025","Internal Writer permission","ngf.test.js","",""
"","182","Sitemap: https://mobalytics.gg/example-game/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:00 UTC 2025","skipped","Fri Dec 12 13:11:00 UTC 2025","","sitemap.test.js","",""
"","24183","Create a tier-list page on Monster Hunter Wilds project","ngf-tests","Fri Dec 12 13:17:22 UTC 2025","passed","Fri Dec 12 13:17:46 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","941","Sitemap: https://mobalytics.gg/elden-ring-nightreign/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:01 UTC 2025","passed","Fri Dec 12 13:11:02 UTC 2025","","sitemap.test.js","",""
"","12536","Game Manager has access to SEO modal on the structure pages","ngf-tests","Fri Dec 12 13:19:45 UTC 2025","passed","Fri Dec 12 13:19:58 UTC 2025","Game Manager permission","ngf.test.js","",""
"","8660","Check the availability of advertisement blocks for PoE 2 game","advertisement-tests","Fri Dec 12 13:10:46 UTC 2025","passed","Fri Dec 12 13:10:55 UTC 2025","","advertisement.test.js","",""
"","25539","Create a guide page on Val project","ngf-tests","Fri Dec 12 13:15:03 UTC 2025","passed","Fri Dec 12 13:15:29 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","33201","Create a guide page on Hades 2 project","ngf-tests","Fri Dec 12 13:15:53 UTC 2025","passed","Fri Dec 12 13:16:26 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","927","Sitemap: https://mobalytics.gg/hades-2/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:03 UTC 2025","passed","Fri Dec 12 13:11:04 UTC 2025","","sitemap.test.js","",""
"","39818","Admin role can upload a video to CDN on the structure pages","ngf-tests","Fri Dec 12 13:19:06 UTC 2025","passed","Fri Dec 12 13:19:46 UTC 2025","Admin permission","ngf.test.js","",""
"","167","Sitemap: https://mobalytics.gg/2xko/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:05 UTC 2025","skipped","Fri Dec 12 13:11:05 UTC 2025","","sitemap.test.js","",""
"","23239","Create a build page on Borderlands 4 project","ngf-tests","Fri Dec 12 13:14:19 UTC 2025","passed","Fri Dec 12 13:14:42 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","14388","Check the availability of advertisement blocks for TFT game","advertisement-tests","Fri Dec 12 13:10:04 UTC 2025","passed","Fri Dec 12 13:10:19 UTC 2025","","advertisement.test.js","",""
"","517","setup admin","setup","Fri Dec 12 13:09:53 UTC 2025","passed","Fri Dec 12 13:09:53 UTC 2025","","setup/auth.setup.test.js","",""
"","8659","Check the availability of advertisement blocks for LoL game","advertisement-tests","Fri Dec 12 13:09:56 UTC 2025","passed","Fri Dec 12 13:10:04 UTC 2025","","advertisement.test.js","",""
"","1605","Sitemap: https://mobalytics.gg/destiny-2/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:00 UTC 2025","passed","Fri Dec 12 13:11:02 UTC 2025","","sitemap.test.js","",""
"","1009","Sitemap: https://mobalytics.gg/product-sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:10:57 UTC 2025","passed","Fri Dec 12 13:10:58 UTC 2025","","sitemap.test.js","",""
"","14684","Check static data on NGF Nightreign","ngf-tests","Fri Dec 12 13:20:12 UTC 2025","passed","Fri Dec 12 13:20:26 UTC 2025","","ngf.test.js","",""
"","23293","Create a tier-list page on The Bazaar project","ngf-tests","Fri Dec 12 13:18:00 UTC 2025","passed","Fri Dec 12 13:18:23 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","12973","Admin role has access to SEO modal on the structure pages","ngf-tests","Fri Dec 12 13:18:53 UTC 2025","passed","Fri Dec 12 13:19:06 UTC 2025","Admin permission","ngf.test.js","",""
"","657","Sitemap: https://mobalytics.gg/the-bazaar/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:04 UTC 2025","passed","Fri Dec 12 13:11:05 UTC 2025","","sitemap.test.js","",""
"","10682","Check static data on NGF The Bazaar","ngf-tests","Fri Dec 12 13:20:39 UTC 2025","passed","Fri Dec 12 13:20:50 UTC 2025","","ngf.test.js","",""
"","66488","Admin role can duplicate the structure page","ngf-tests","Fri Dec 12 13:18:29 UTC 2025","passed","Fri Dec 12 13:19:35 UTC 2025","Admin permission","ngf.test.js","",""
"","10343","Check the availability of advertisement blocks for Borderlands 4 game","advertisement-tests","Fri Dec 12 13:10:40 UTC 2025","passed","Fri Dec 12 13:10:50 UTC 2025","","advertisement.test.js","",""
"","26499","Create a tier-list page on Riftbound project","ngf-tests","Fri Dec 12 13:16:46 UTC 2025","passed","Fri Dec 12 13:17:12 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","711","Sitemap: https://mobalytics.gg/zzz/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:10:59 UTC 2025","passed","Fri Dec 12 13:11:00 UTC 2025","","sitemap.test.js","",""
"","14714","Check static data on NGF Monster Hunter Wilds","ngf-tests","Fri Dec 12 13:20:12 UTC 2025","passed","Fri Dec 12 13:20:27 UTC 2025","","ngf.test.js","",""
"","25967","Create a structure page on Valorant project","ngf-tests","Fri Dec 12 13:11:37 UTC 2025","passed","Fri Dec 12 13:12:03 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","36882","Create a structure page on Nightreign project","ngf-tests","Fri Dec 12 13:12:08 UTC 2025","passed","Fri Dec 12 13:12:45 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","3426","Sitemap: https://mobalytics.gg/champions-sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:01 UTC 2025","passed","Fri Dec 12 13:11:04 UTC 2025","","sitemap.test.js","",""
"","3013","Sitemap: https://mobalytics.gg/poe-2/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:04 UTC 2025","passed","Fri Dec 12 13:11:07 UTC 2025","","sitemap.test.js","",""
"","16039","Check error state for empty ""CardGrid"" widget","ngf-tests","Fri Dec 12 13:19:56 UTC 2025","passed","Fri Dec 12 13:20:12 UTC 2025","","ngf.test.js","",""
"","9389","Check the availability of advertisement blocks for 2XKO game","advertisement-tests","Fri Dec 12 13:10:18 UTC 2025","passed","Fri Dec 12 13:10:27 UTC 2025","","advertisement.test.js","",""
"","26049","Admin role can upload an image to CDN on the ug page","ngf-tests","Fri Dec 12 13:19:09 UTC 2025","passed","Fri Dec 12 13:19:35 UTC 2025","Admin permission","ngf.test.js","",""
"","30182","Create a guide page on TFT project","ngf-tests","Fri Dec 12 13:15:04 UTC 2025","passed","Fri Dec 12 13:15:34 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","26349","Create a structure page on Bazaar project","ngf-tests","Fri Dec 12 13:12:35 UTC 2025","passed","Fri Dec 12 13:13:01 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","1811","Error validation: 404 status code & title on NGF page","others-tests","Fri Dec 12 13:20:49 UTC 2025","passed","Fri Dec 12 13:20:51 UTC 2025","","others.test.js","",""
"","10683","Game Manager role can't publish ST pages","ngf-tests","Fri Dec 12 13:19:37 UTC 2025","passed","Fri Dec 12 13:19:47 UTC 2025","Game Manager permission","ngf.test.js","",""
"","13607","Check static data on NGF Diablo 4","ngf-tests","Fri Dec 12 13:20:11 UTC 2025","passed","Fri Dec 12 13:20:25 UTC 2025","","ngf.test.js","",""
"","9389","St Widget contains only ""Edit"" button & ""Create Page"" button is missing on ST page for Game Manager role","ngf-tests","Fri Dec 12 13:19:35 UTC 2025","passed","Fri Dec 12 13:19:45 UTC 2025","Game Manager permission","ngf.test.js","",""
"","10326","Game Manager role can't archive, duplicate ST pages","ngf-tests","Fri Dec 12 13:19:45 UTC 2025","passed","Fri Dec 12 13:19:55 UTC 2025","Game Manager permission","ngf.test.js","",""
"","19633","Check static data on NGF PoE 2","ngf-tests","Fri Dec 12 13:20:27 UTC 2025","passed","Fri Dec 12 13:20:47 UTC 2025","","ngf.test.js","",""
"","18968","Check static data on NGF Deadlock","ngf-tests","Fri Dec 12 13:20:26 UTC 2025","passed","Fri Dec 12 13:20:45 UTC 2025","","ngf.test.js","",""
"","784","Sitemap: https://mobalytics.gg/deadlock/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:04 UTC 2025","passed","Fri Dec 12 13:11:04 UTC 2025","","sitemap.test.js","",""
"","24765","Create a guide page on Diablo 4 project","ngf-tests","Fri Dec 12 13:15:31 UTC 2025","passed","Fri Dec 12 13:15:55 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","13062","Check the availability of advertisement blocks for Val game","advertisement-tests","Fri Dec 12 13:09:56 UTC 2025","passed","Fri Dec 12 13:10:09 UTC 2025","","advertisement.test.js","",""
"","13462","Check static data on NGF ZZZ","ngf-tests","Fri Dec 12 13:20:05 UTC 2025","passed","Fri Dec 12 13:20:18 UTC 2025","","ngf.test.js","",""
"","9186","Check the availability of advertisement blocks for Marvel Rivals game","advertisement-tests","Fri Dec 12 13:10:19 UTC 2025","passed","Fri Dec 12 13:10:28 UTC 2025","","advertisement.test.js","",""
"","26413","Create a build page on PoE 2 project","ngf-tests","Fri Dec 12 13:14:37 UTC 2025","passed","Fri Dec 12 13:15:03 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","22672","Create a guide page on PoE project","ngf-tests","Fri Dec 12 13:16:15 UTC 2025","passed","Fri Dec 12 13:16:38 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","26265","Create a build page on 2XKO project","ngf-tests","Fri Dec 12 13:13:29 UTC 2025","passed","Fri Dec 12 13:13:55 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","23200","Create a guide page on LoL project","ngf-tests","Fri Dec 12 13:14:45 UTC 2025","passed","Fri Dec 12 13:15:08 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","23181","Create a tier-list page on LoL project","ngf-tests","Fri Dec 12 13:16:31 UTC 2025","passed","Fri Dec 12 13:16:54 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","33017","Create a structure page on Riftbound project","ngf-tests","Fri Dec 12 13:11:08 UTC 2025","passed","Fri Dec 12 13:11:41 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","29686","Create a structure page on LoL project","ngf-tests","Fri Dec 12 13:11:17 UTC 2025","passed","Fri Dec 12 13:11:47 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","1076","Check API Internal Writer permission","ngf-tests","Fri Dec 12 13:19:29 UTC 2025","passed","Fri Dec 12 13:19:30 UTC 2025","Internal Writer permission","ngf.test.js","",""
"","19041","Create a guide page on Nightreign project","ngf-tests","Fri Dec 12 13:15:34 UTC 2025","passed","Fri Dec 12 13:15:53 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","8697","Check the availability of advertisement blocks for The Bazaar game","advertisement-tests","Fri Dec 12 13:10:50 UTC 2025","passed","Fri Dec 12 13:10:59 UTC 2025","","advertisement.test.js","",""
"","6472","Game Manager role has access to the Admin ST page","ngf-tests","Fri Dec 12 13:19:30 UTC 2025","passed","Fri Dec 12 13:19:36 UTC 2025","Game Manager permission","ngf.test.js","",""
"","36051","Admin role is allowed to publish structure pages","ngf-tests","Fri Dec 12 13:18:33 UTC 2025","passed","Fri Dec 12 13:19:09 UTC 2025","Admin permission","ngf.test.js","",""
"","471","setup internal writer","setup","Fri Dec 12 13:09:53 UTC 2025","passed","Fri Dec 12 13:09:53 UTC 2025","","setup/auth.setup.test.js","",""
"","18874","Create a guide page on 2XKO project","ngf-tests","Fri Dec 12 13:15:12 UTC 2025","passed","Fri Dec 12 13:15:30 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","21084","Create a guide page on Deadlock project","ngf-tests","Fri Dec 12 13:16:10 UTC 2025","passed","Fri Dec 12 13:16:31 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","23945","Create a guide page on Marvel Rivals project","ngf-tests","Fri Dec 12 13:15:27 UTC 2025","passed","Fri Dec 12 13:15:51 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","10251","Check the availability of advertisement blocks for ZZZ game","advertisement-tests","Fri Dec 12 13:10:24 UTC 2025","passed","Fri Dec 12 13:10:35 UTC 2025","","advertisement.test.js","",""
"","1458","Sitemap: https://mobalytics.gg/borderlands-4/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:03 UTC 2025","passed","Fri Dec 12 13:11:05 UTC 2025","","sitemap.test.js","",""
"","18900","Create a guide page on Riftbound project","ngf-tests","Fri Dec 12 13:15:08 UTC 2025","passed","Fri Dec 12 13:15:27 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","21542","Create a tier-list page on TFT project","ngf-tests","Fri Dec 12 13:16:41 UTC 2025","passed","Fri Dec 12 13:17:03 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","25569","Create a tier-list page on Borderlands 4 project","ngf-tests","Fri Dec 12 13:17:34 UTC 2025","passed","Fri Dec 12 13:18:00 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","29538","Create a structure page on Marvel Rivals project","ngf-tests","Fri Dec 12 13:12:45 UTC 2025","passed","Fri Dec 12 13:13:14 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","26883","Create a tier-list page on Val project","ngf-tests","Fri Dec 12 13:16:38 UTC 2025","passed","Fri Dec 12 13:17:05 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","907","Sitemap: https://mobalytics.gg/poe/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:04 UTC 2025","passed","Fri Dec 12 13:11:05 UTC 2025","","sitemap.test.js","",""
"","21194","Create a build page on LoL project","ngf-tests","Fri Dec 12 13:13:14 UTC 2025","passed","Fri Dec 12 13:13:35 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","930","Sitemap: https://mobalytics.gg/marvel-rivals/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:02 UTC 2025","passed","Fri Dec 12 13:11:03 UTC 2025","","sitemap.test.js","",""
"","11631","Check the availability of advertisement blocks for Monster Hunter Wilds game","advertisement-tests","Fri Dec 12 13:10:35 UTC 2025","passed","Fri Dec 12 13:10:47 UTC 2025","","advertisement.test.js","",""
"","30975","Create a structure page on TFT project","ngf-tests","Fri Dec 12 13:11:37 UTC 2025","passed","Fri Dec 12 13:12:08 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","19486","Create a guide page on ZZZ project","ngf-tests","Fri Dec 12 13:15:29 UTC 2025","passed","Fri Dec 12 13:15:48 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","13895","Check static data on NGF Borderlands 4","ngf-tests","Fri Dec 12 13:20:25 UTC 2025","passed","Fri Dec 12 13:20:39 UTC 2025","","ngf.test.js","",""
"","7","Check x-moba-ssr-cache header & new content are present on MHW build page","others-tests","Fri Dec 12 13:20:48 UTC 2025","skipped","Fri Dec 12 13:20:48 UTC 2025","","others.test.js","",""
"","31660","Create a tier-list page on PoE 2 project","ngf-tests","Fri Dec 12 13:17:46 UTC 2025","passed","Fri Dec 12 13:18:18 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","21608","Create a build page on Nightreign project","ngf-tests","Fri Dec 12 13:13:52 UTC 2025","passed","Fri Dec 12 13:14:14 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","19465","Create a tier-list page on Destiny 2 project","ngf-tests","Fri Dec 12 13:17:15 UTC 2025","passed","Fri Dec 12 13:17:34 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","2344","Error validation: 404 status code & title on usual page","others-tests","Fri Dec 12 13:20:49 UTC 2025","passed","Fri Dec 12 13:20:51 UTC 2025","","others.test.js","",""
"","8844","Check the availability of advertisement blocks for Riftbound game","advertisement-tests","Fri Dec 12 13:10:09 UTC 2025","passed","Fri Dec 12 13:10:18 UTC 2025","","advertisement.test.js","",""
"","2152","Sitemap: https://mobalytics.gg/diablo-4/sitemap.xml is opened successfully","sitemap-tests","Fri Dec 12 13:11:00 UTC 2025","passed","Fri Dec 12 13:11:03 UTC 2025","","sitemap.test.js","",""
"","20047","Create a tier-list page on ZZZ project","ngf-tests","Fri Dec 12 13:17:05 UTC 2025","passed","Fri Dec 12 13:17:25 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","1143","Check API admin permission","ngf-tests","Fri Dec 12 13:19:09 UTC 2025","passed","Fri Dec 12 13:19:10 UTC 2025","Admin permission","ngf.test.js","",""
"","9641","Admin role has access to the Admin ST page","ngf-tests","Fri Dec 12 13:18:18 UTC 2025","passed","Fri Dec 12 13:18:28 UTC 2025","Admin permission","ngf.test.js","",""
"","8618","Checking ""New Games"" in the navbar on https://mobalytics.gg","ngf-tests","Fri Dec 12 13:11:08 UTC 2025","passed","Fri Dec 12 13:11:17 UTC 2025","","ngf.test.js","",""
"","23356","Create a guide page on Monster Hunter Wilds project","ngf-tests","Fri Dec 12 13:15:51 UTC 2025","passed","Fri Dec 12 13:16:15 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","23414","Create a build page on Deadlock project","ngf-tests","Fri Dec 12 13:14:22 UTC 2025","passed","Fri Dec 12 13:14:45 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","26920","Create a structure page on ZZZ project","ngf-tests","Fri Dec 12 13:12:47 UTC 2025","passed","Fri Dec 12 13:13:14 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","24655","Create a build page on ZZZ project","ngf-tests","Fri Dec 12 13:13:45 UTC 2025","passed","Fri Dec 12 13:14:10 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","16855","Create a build page on Marvel Rivals project","ngf-tests","Fri Dec 12 13:13:36 UTC 2025","passed","Fri Dec 12 13:13:52 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","19085","Create a tier-list page on Marvel Rivals project","ngf-tests","Fri Dec 12 13:17:03 UTC 2025","passed","Fri Dec 12 13:17:22 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","19597","Create a guide page on Borderlands 4 project","ngf-tests","Fri Dec 12 13:15:55 UTC 2025","passed","Fri Dec 12 13:16:15 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","23194","Create a tier-list page on Deadlock project","ngf-tests","Fri Dec 12 13:17:40 UTC 2025","passed","Fri Dec 12 13:18:03 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","22774","Create a build page on Hades 2 project","ngf-tests","Fri Dec 12 13:14:14 UTC 2025","passed","Fri Dec 12 13:14:37 UTC 2025","Creating UG Pages","ngf.test.js","",""
