"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6588","Create a guide page on STS 2 project","ngf-tests","Thu May 21 13:34:12 UTC 2026","passed","Thu May 21 13:34:18 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","13178","Create a structure page on PoE 2 project","ngf-tests","Thu May 21 13:27:56 UTC 2026","passed","Thu May 21 13:28:09 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","6181","Create a tier-list page on Borderlands 4 project","ngf-tests","Thu May 21 13:35:37 UTC 2026","passed","Thu May 21 13:35:43 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","1105","Check static data on NGF STS 2","ngf-tests","Thu May 21 13:41:22 UTC 2026","passed","Thu May 21 13:41:24 UTC 2026","","ngf.test.js","",""
"","2430","Error validation: 404 status code & title on NGF page","others-tests","Thu May 21 13:42:25 UTC 2026","passed","Thu May 21 13:42:27 UTC 2026","","others.test.js","",""
"","7709","Create a guide page on TFT project","ngf-tests","Thu May 21 13:32:14 UTC 2026","passed","Thu May 21 13:32:22 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","4503","Admin role has access to SEO modal on the structure pages","ngf-tests","Thu May 21 13:38:06 UTC 2026","passed","Thu May 21 13:38:10 UTC 2026","Admin permission","ngf.test.js","",""
"","8279","Create a guide page on LoL project","ngf-tests","Thu May 21 13:31:59 UTC 2026","passed","Thu May 21 13:32:07 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","6434","Create a tier-list page on ZZZ project","ngf-tests","Thu May 21 13:35:03 UTC 2026","passed","Thu May 21 13:35:09 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","6883","Create a guide page on The Bazaar project","ngf-tests","Thu May 21 13:33:43 UTC 2026","passed","Thu May 21 13:33:49 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","3739","St Widget contains ""Edit"" button, ""Delete"" button & ""Create Page"" button is present on ST Admin page for Admin role","ngf-tests","Thu May 21 13:37:08 UTC 2026","passed","Thu May 21 13:37:12 UTC 2026","Admin permission","ngf.test.js","",""
"","12851","Delete mobalytics account","account-tests","Thu May 21 13:25:21 UTC 2026","passed","Thu May 21 13:25:33 UTC 2026","","account.test.js","",""
"","6910","Check static data on NGF Endfield","ngf-tests","Thu May 21 13:41:08 UTC 2026","passed","Thu May 21 13:41:15 UTC 2026","","ngf.test.js","",""
"","6619","Create a build page on Borderlands 4 project","ngf-tests","Thu May 21 13:31:01 UTC 2026","passed","Thu May 21 13:31:08 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","7084","Create a build page on Hades 2 project","ngf-tests","Thu May 21 13:30:54 UTC 2026","passed","Thu May 21 13:31:01 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","3238","Admin role has access to the Admin ST page","ngf-tests","Thu May 21 13:37:05 UTC 2026","passed","Thu May 21 13:37:08 UTC 2026","Admin permission","ngf.test.js","",""
"","5884","Create a deck page on Riftbound project","ngf-tests","Thu May 21 13:36:59 UTC 2026","passed","Thu May 21 13:37:05 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","6753","Create a guide page on Marathon project","ngf-tests","Thu May 21 13:33:57 UTC 2026","passed","Thu May 21 13:34:04 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","3795","Checking ""New Games"" in the navbar on https://stg.mobalytics.gg","ngf-tests","Thu May 21 13:25:47 UTC 2026","passed","Thu May 21 13:25:50 UTC 2026","","ngf.test.js","",""
"","6227","Create a guide page on 2XKO project","ngf-tests","Thu May 21 13:32:29 UTC 2026","passed","Thu May 21 13:32:35 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","7550","Create a build page on LoL project","ngf-tests","Thu May 21 13:29:46 UTC 2026","passed","Thu May 21 13:29:54 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","1075","setup admin","auth-setup","Thu May 21 13:25:18 UTC 2026","passed","Thu May 21 13:25:19 UTC 2026","","setup/auth.setup.test.js","",""
"","9748","Create a structure page on MHW project","ngf-tests","Thu May 21 13:28:44 UTC 2026","passed","Thu May 21 13:28:54 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","6290","Create a guide page on Marvel Rivals project","ngf-tests","Thu May 21 13:32:35 UTC 2026","passed","Thu May 21 13:32:41 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","7641","Check static data on NGF 2XKO","ngf-tests","Thu May 21 13:39:39 UTC 2026","passed","Thu May 21 13:39:46 UTC 2026","","ngf.test.js","",""
"","10589","Create a structure page on Borderlands 4 project","ngf-tests","Thu May 21 13:29:36 UTC 2026","passed","Thu May 21 13:29:46 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","8024","Create a tier-list page on LoL project","ngf-tests","Thu May 21 13:34:18 UTC 2026","passed","Thu May 21 13:34:26 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","1088","Check API admin permission","ngf-tests","Thu May 21 13:38:30 UTC 2026","passed","Thu May 21 13:38:31 UTC 2026","Admin permission","ngf.test.js","",""
"","1073","Check API Internal Writer permission","ngf-tests","Thu May 21 13:38:39 UTC 2026","passed","Thu May 21 13:38:40 UTC 2026","Internal Writer permission","ngf.test.js","",""
"","7367","Check static data on NGF The Bazaar","ngf-tests","Thu May 21 13:41:01 UTC 2026","passed","Thu May 21 13:41:08 UTC 2026","","ngf.test.js","",""
"","7547","Create a tier-list page on Diablo 4 project","ngf-tests","Thu May 21 13:35:09 UTC 2026","passed","Thu May 21 13:35:17 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","6594","Create a guide page on Hades 2 project","ngf-tests","Thu May 21 13:33:08 UTC 2026","passed","Thu May 21 13:33:15 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","12607","Create a structure page on Destiny 2 project","ngf-tests","Thu May 21 13:27:43 UTC 2026","passed","Thu May 21 13:27:56 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","7395","Create a guide page on Val project","ngf-tests","Thu May 21 13:32:07 UTC 2026","passed","Thu May 21 13:32:14 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","8089","Create a tier-list page on Val project","ngf-tests","Thu May 21 13:34:26 UTC 2026","passed","Thu May 21 13:34:34 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","11501","Create a structure page on Marathon project","ngf-tests","Thu May 21 13:26:23 UTC 2026","passed","Thu May 21 13:26:34 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","1155","Check API Game Manager permission","ngf-tests","Thu May 21 13:39:24 UTC 2026","passed","Thu May 21 13:39:25 UTC 2026","Game Manager permission","ngf.test.js","",""
