"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1599","Check API admin permission","ngf-tests","Tue Aug 26 13:34:20 UTC 2025","passed","Tue Aug 26 13:34:22 UTC 2025","Checking role permissions > Admin permission","tests/ngf.test.js","",""
"","21567","Create a guide page on MHW project","ngf-tests","Tue Aug 26 13:31:04 UTC 2025","passed","Tue Aug 26 13:31:26 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","31759","Create a tier list page on ZZZ project","ngf-tests","Tue Aug 26 13:32:25 UTC 2025","passed","Tue Aug 26 13:32:56 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","2265","St Widget contains only ""Edit"" button & ""Create Page"" button is missing on ST page for Game Manager role","ngf-tests","Tue Aug 26 13:34:33 UTC 2025","passed","Tue Aug 26 13:34:35 UTC 2025","Checking role permissions > Game Manager permission","tests/ngf.test.js","",""
"","5767","View mode of the ""/qa-not-delete-st-page"" structure page is available for the Game Manager role","ngf-tests","Tue Aug 26 13:34:35 UTC 2025","passed","Tue Aug 26 13:34:41 UTC 2025","Checking role permissions > Game Manager permission","tests/ngf.test.js","",""
"","29131","Create a build page on MHW project","ngf-tests","Tue Aug 26 13:29:25 UTC 2025","passed","Tue Aug 26 13:29:54 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","37444","Create a tier list page on Deadlock project","ngf-tests","Tue Aug 26 13:32:06 UTC 2025","passed","Tue Aug 26 13:32:44 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","23514","Create a guide page on Hades 2 project","ngf-tests","Tue Aug 26 13:30:40 UTC 2025","passed","Tue Aug 26 13:31:04 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","27341","Admin role can upload a video to CDN on the structure pages","ngf-tests","Tue Aug 26 13:33:53 UTC 2025","passed","Tue Aug 26 13:34:20 UTC 2025","Checking role permissions > Admin permission","tests/ngf.test.js","",""
"","17675","Create a tier list page on The Bazaar project","ngf-tests","Tue Aug 26 13:32:13 UTC 2025","passed","Tue Aug 26 13:32:30 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","43830","Create a team page on ZZZ project","ngf-tests","Tue Aug 26 13:31:22 UTC 2025","passed","Tue Aug 26 13:32:06 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","43442","Create a structure page on Marvel Rivals project","ngf-tests","Tue Aug 26 13:28:07 UTC 2025","passed","Tue Aug 26 13:28:51 UTC 2025","Creating ST Pages","tests/ngf.test.js","",""
"","51613","Admin role is allowed to publish structure pages","ngf-tests","Tue Aug 26 13:33:06 UTC 2025","passed","Tue Aug 26 13:33:58 UTC 2025","Checking role permissions > Admin permission","tests/ngf.test.js","",""
"","44967","Create a structure page on Borderlands 4 project","ngf-tests","Tue Aug 26 13:28:45 UTC 2025","passed","Tue Aug 26 13:29:30 UTC 2025","Creating ST Pages","tests/ngf.test.js","",""
"","18893","Create a tier list page on Hades 2 project","ngf-tests","Tue Aug 26 13:32:44 UTC 2025","passed","Tue Aug 26 13:33:03 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","4510","Game Manager role can't archive, duplicate ST pages","ngf-tests","Tue Aug 26 13:34:47 UTC 2025","passed","Tue Aug 26 13:34:51 UTC 2025","Checking role permissions > Game Manager permission","tests/ngf.test.js","",""
"","13853","Admin role has access to SEO modal on the structure pages","ngf-tests","Tue Aug 26 13:35:01 UTC 2025","passed","Tue Aug 26 13:35:15 UTC 2025","Checking role permissions > Admin permission","tests/ngf.test.js","",""
"","31426","Create a build page on Hades 2 project","ngf-tests","Tue Aug 26 13:29:54 UTC 2025","passed","Tue Aug 26 13:30:26 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","55270","Create a structure page on Bazaar project","ngf-tests","Tue Aug 26 13:27:50 UTC 2025","passed","Tue Aug 26 13:28:45 UTC 2025","Creating ST Pages","tests/ngf.test.js","",""
"","2260","Check API Game Manager permission","ngf-tests","Tue Aug 26 13:35:19 UTC 2025","passed","Tue Aug 26 13:35:21 UTC 2025","Checking role permissions > Game Manager permission","tests/ngf.test.js","",""
"","28800","Create a structure page on Diablo4 project","ngf-tests","Tue Aug 26 13:27:14 UTC 2025","passed","Tue Aug 26 13:27:43 UTC 2025","Creating ST Pages","tests/ngf.test.js","",""
"","52008","Create a structure page on Mhw project","ngf-tests","Tue Aug 26 13:27:43 UTC 2025","passed","Tue Aug 26 13:28:35 UTC 2025","Creating ST Pages","tests/ngf.test.js","",""
"","46866","Create a guide page on PoE project","ngf-tests","Tue Aug 26 13:30:26 UTC 2025","passed","Tue Aug 26 13:31:13 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","34128","Create a tier list page on Marvel Rivals project","ngf-tests","Tue Aug 26 13:32:24 UTC 2025","passed","Tue Aug 26 13:32:58 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","8008","Admin role has access to the Admin ST page","ngf-tests","Tue Aug 26 13:32:56 UTC 2025","passed","Tue Aug 26 13:33:04 UTC 2025","Checking role permissions > Admin permission","tests/ngf.test.js","",""
"","27166","Create a guide page on Borderlands 4 project","ngf-tests","Tue Aug 26 13:30:55 UTC 2025","passed","Tue Aug 26 13:31:22 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","45021","Admin role can edit the structure page","ngf-tests","Tue Aug 26 13:35:02 UTC 2025","passed","Tue Aug 26 13:35:47 UTC 2025","Checking role permissions > Admin permission","tests/ngf.test.js","",""
"","7344","Checking ""New Games"" in the navbar on https://mobalytics.gg","ngf-tests","Tue Aug 26 13:27:14 UTC 2025","passed","Tue Aug 26 13:27:21 UTC 2025","","tests/ngf.test.js","",""
"","44641","Create a build page on PoE project","ngf-tests","Tue Aug 26 13:29:29 UTC 2025","passed","Tue Aug 26 13:30:14 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","5121","Product sitemap is ok on https://mobalytics.gg/sitemap.xml","sitemap-tests","Tue Aug 26 13:27:14 UTC 2025","passed","Tue Aug 26 13:27:19 UTC 2025","","tests/sitemap.test.js","",""
"","39605","Create a tier list page on Nightreign project","ngf-tests","Tue Aug 26 13:31:44 UTC 2025","passed","Tue Aug 26 13:32:23 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","6443","St Widget contains ""Edit"" button, ""Delete"" button & ""Create Page"" button is present on ST Admin page for Admin role","ngf-tests","Tue Aug 26 13:32:58 UTC 2025","passed","Tue Aug 26 13:33:04 UTC 2025","Checking role permissions > Admin permission","tests/ngf.test.js","",""
"","17618","Game Manager can upload a video to CDN on the structure pages","ngf-tests","Tue Aug 26 13:35:01 UTC 2025","passed","Tue Aug 26 13:35:19 UTC 2025","Checking role permissions > Game Manager permission","tests/ngf.test.js","",""
"","35473","Create a build page on Nightreign project","ngf-tests","Tue Aug 26 13:29:30 UTC 2025","passed","Tue Aug 26 13:30:05 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","3534","Internal Writer role has NO access to the control panel","ngf-tests","Tue Aug 26 13:34:25 UTC 2025","passed","Tue Aug 26 13:34:29 UTC 2025","Checking role permissions > Internal Writer permission","tests/ngf.test.js","",""
"","37704","Create a guide page on Deadlock project","ngf-tests","Tue Aug 26 13:30:34 UTC 2025","passed","Tue Aug 26 13:31:12 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","37754","Create a build page on Bazaar project","ngf-tests","Tue Aug 26 13:29:19 UTC 2025","passed","Tue Aug 26 13:29:56 UTC 2025","Creating UG Pages","tests/ngf.test.js","",""
"","1403","Check API Internal Writer permission","ngf-tests","Tue Aug 26 13:34:29 UTC 2025","passed","Tue Aug 26 13:34:30 UTC 2025","Checking role permissions > Internal Writer permission","tests/ngf.test.js","",""
"","44050","Admin role can upload an image to CDN on the ug page","ngf-tests","Tue Aug 26 13:35:10 UTC 2025","passed","Tue Aug 26 13:35:54 UTC 2025","Checking role permissions > Admin permission","tests/ngf.test.js","",""
