"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57708","Create a structure page on Deadlock project","ngf-tests","Thu Nov 20 12:37:18 UTC 2025","passed","Thu Nov 20 12:38:16 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","48894","Check static data on NGF Hades 2","ngf-tests","Thu Nov 20 12:54:00 UTC 2025","passed","Thu Nov 20 12:54:49 UTC 2025","","ngf.test.js","",""
"","8103","Check the availability of advertising blocks for Hades 2 game","advertisement-tests","Thu Nov 20 12:34:31 UTC 2025","passed","Thu Nov 20 12:34:39 UTC 2025","","advertisement.test.js","",""
"","530","Checking sitemap for Hades 2 game on https://mobalytics.gg/sitemap.xml","sitemap-tests","Thu Nov 20 12:34:56 UTC 2025","passed","Thu Nov 20 12:34:56 UTC 2025","","sitemap.test.js","",""
"","671","Checking sitemap for Product Sitemap game on https://mobalytics.gg/sitemap.xml","sitemap-tests","Thu Nov 20 12:34:53 UTC 2025","passed","Thu Nov 20 12:34:53 UTC 2025","","sitemap.test.js","",""
"","54981","Create a guide page on Hades 2 project","ngf-tests","Thu Nov 20 12:44:41 UTC 2025","passed","Thu Nov 20 12:45:36 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","47809","Create a build page on Deadlock project","ngf-tests","Thu Nov 20 12:42:10 UTC 2025","passed","Thu Nov 20 12:42:58 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","33313","Check static data on NGF The Bazaar","ngf-tests","Thu Nov 20 12:55:15 UTC 2025","passed","Thu Nov 20 12:55:49 UTC 2025","","ngf.test.js","",""
"","11310","View mode of the ""/qa-not-delete-st-page"" structure page is available for the Admin role","ngf-tests","Thu Nov 20 12:49:48 UTC 2025","passed","Thu Nov 20 12:50:00 UTC 2025","Admin permission","ngf.test.js","",""
"","11501","Error validation: 404 status code & title on usual page","others-tests","Thu Nov 20 12:55:26 UTC 2025","passed","Thu Nov 20 12:55:38 UTC 2025","","others.test.js","",""
"","39792","Create a guide page on 2xko project","ngf-tests","Thu Nov 20 12:42:35 UTC 2025","passed","Thu Nov 20 12:43:15 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","61776","Create a guide page on TFT project","ngf-tests","Thu Nov 20 12:43:23 UTC 2025","passed","Thu Nov 20 12:44:25 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","57589","Create a guide page on Valorant project","ngf-tests","Thu Nov 20 12:43:15 UTC 2025","passed","Thu Nov 20 12:44:13 UTC 2025","Creating UG Pages","ngf.test.js","",""
