"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5481","Check static data on NGF Riftbound","ngf-tests","2026-06-19","passed","2026-06-19","","ngf.test.js","",""
"","12059","Create a structure page on Borderlands 4 project","ngf-tests","2026-06-19","passed","2026-06-19","Creating ST Pages","ngf.test.js","",""
"","6302","Create a guide page on Nightreign project","ngf-tests","2026-06-19","passed","2026-06-19","Creating UG Pages","ngf.test.js","",""
"","5964","Check static data on NGF Diablo 4","ngf-tests","2026-06-19","passed","2026-06-19","","ngf.test.js","",""
"","7267","Create a build page on PoE project","ngf-tests","2026-06-19","passed","2026-06-19","Creating UG Pages","ngf.test.js","",""
"","6459","Check error state for empty ""CardGrid"" widget","ngf-tests","2026-06-19","passed","2026-06-19","","ngf.test.js","",""
"","7955","Create a guide page on LoL project","ngf-tests","2026-06-19","passed","2026-06-19","Creating UG Pages","ngf.test.js","",""
"","9847","Create a build page on TFT project","ngf-tests","2026-06-19","passed","2026-06-19","Creating UG Pages","ngf.test.js","",""
"","6388","Create a tier-list page on Deadlock project","ngf-tests","2026-06-19","passed","2026-06-19","Creating UG Pages","ngf.test.js","",""
"","6982","Create a tier-list page on Hades 2 project","ngf-tests","2026-06-19","passed","2026-06-19","Creating UG Pages","ngf.test.js","",""
"","1090","Check static data on NGF STS 2","ngf-tests","2026-06-19","passed","2026-06-19","","ngf.test.js","",""
"","1962","Error validation: 404 status code & title on NGF page","others-tests","2026-06-19","passed","2026-06-19","","others.test.js","",""
"","6726","Create a build page on Deadlock project","ngf-tests","2026-06-19","passed","2026-06-19","Creating UG Pages","ngf.test.js","",""
"","13175","Create a structure page on Endfield project","ngf-tests","2026-06-19","passed","2026-06-19","Creating ST Pages","ngf.test.js","",""
"","1091","Check API admin permission","ngf-tests","2026-06-19","passed","2026-06-19","Admin permission","ngf.test.js","",""
"","7262","Create a tier-list page on Endfield project","ngf-tests","2026-06-19","passed","2026-06-19","Creating UG Pages","ngf.test.js","",""
"","4268","View mode of the ""/qa-not-delete-st-page"" structure page is available for the Admin role","ngf-tests","2026-06-19","passed","2026-06-19","Admin permission","ngf.test.js","",""
"","11303","Create a structure page on Riftbound project","ngf-tests","2026-06-19","passed","2026-06-19","Creating ST Pages","ngf.test.js","",""
"","7696","Create a tier-list page on Val project","ngf-tests","2026-06-19","passed","2026-06-19","Creating UG Pages","ngf.test.js","",""
"","6266","Create a guide page on Riftbound project","ngf-tests","2026-06-19","passed","2026-06-19","Creating UG Pages","ngf.test.js","",""
