"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8424","Create a structure page on LoL project","ngf-tests","Tue Mar 24 11:36:55 UTC 2026","passed","Tue Mar 24 11:37:03 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","6140","Create a tier-list page on Hades 2 project","ngf-tests","Tue Mar 24 11:44:00 UTC 2026","passed","Tue Mar 24 11:44:06 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","5560","Create a build page on Val project","ngf-tests","Tue Mar 24 11:39:05 UTC 2026","passed","Tue Mar 24 11:39:11 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","5173","Check static data on NGF 2XKO","ngf-tests","Tue Mar 24 11:47:31 UTC 2026","passed","Tue Mar 24 11:47:36 UTC 2026","","ngf.test.js","",""
"","5704","Check static data on NGF PoE","ngf-tests","Tue Mar 24 11:48:23 UTC 2026","passed","Tue Mar 24 11:48:28 UTC 2026","","ngf.test.js","",""
"","8956","Create a structure page on Bazaar project","ngf-tests","Tue Mar 24 11:38:15 UTC 2026","passed","Tue Mar 24 11:38:24 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","3040","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - Val in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:50:05 UTC 2026","passed","Tue Mar 24 11:50:08 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","2296","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - Destiny 2 in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:50:36 UTC 2026","passed","Tue Mar 24 11:50:38 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","503","setup admin","auth-setup","Tue Mar 24 11:35:33 UTC 2026","passed","Tue Mar 24 11:35:34 UTC 2026","","setup/auth.setup.test.js","",""
"","3458","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - The Bazaar in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:50:59 UTC 2026","passed","Tue Mar 24 11:51:02 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","6209","Create a guide page on ZZZ project","ngf-tests","Tue Mar 24 11:41:27 UTC 2026","passed","Tue Mar 24 11:41:33 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","3261","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - Diablo 4 in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:50:28 UTC 2026","passed","Tue Mar 24 11:50:32 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","6224","Create a guide page on Marvel Rivals project","ngf-tests","Tue Mar 24 11:41:20 UTC 2026","passed","Tue Mar 24 11:41:27 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","3745","Admin role has access to the Admin ST page","ngf-tests","Tue Mar 24 11:45:18 UTC 2026","passed","Tue Mar 24 11:45:21 UTC 2026","Admin permission","ngf.test.js","",""
"","8561","Create a structure page on MHW project","ngf-tests","Tue Mar 24 11:38:07 UTC 2026","passed","Tue Mar 24 11:38:15 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","5142","Create a deck page on Riftbound project","ngf-tests","Tue Mar 24 11:45:13 UTC 2026","passed","Tue Mar 24 11:45:18 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","5479","Create a build page on 2XKO project","ngf-tests","Tue Mar 24 11:39:18 UTC 2026","passed","Tue Mar 24 11:39:23 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","5741","Create a tier-list page on 2XKO project","ngf-tests","Tue Mar 24 11:43:18 UTC 2026","passed","Tue Mar 24 11:43:23 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","3236","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - Deadlock in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:50:50 UTC 2026","passed","Tue Mar 24 11:50:53 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","4378","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - Nightreign in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:50:32 UTC 2026","passed","Tue Mar 24 11:50:36 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","6229","Create a build page on Monster Hunter Wilds project","ngf-tests","Tue Mar 24 11:39:54 UTC 2026","passed","Tue Mar 24 11:40:00 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","3305","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - Borderlands 4 in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:50:46 UTC 2026","passed","Tue Mar 24 11:50:50 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","7440","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - Marvel Rivals in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:50:17 UTC 2026","passed","Tue Mar 24 11:50:25 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","2421","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - Endfield in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:51:02 UTC 2026","passed","Tue Mar 24 11:51:05 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","6539","Create a build page on PoE 2 project","ngf-tests","Tue Mar 24 11:40:18 UTC 2026","passed","Tue Mar 24 11:40:25 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","9506","Create a structure page on Overwatch project","ngf-tests","Tue Mar 24 11:36:01 UTC 2026","passed","Tue Mar 24 11:36:10 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","3990","Game Manager role can't archive, duplicate ST pages","ngf-tests","Tue Mar 24 11:46:56 UTC 2026","passed","Tue Mar 24 11:47:00 UTC 2026","Game Manager permission","ngf.test.js","",""
"","6668","Check static data on NGF Monster Hunter Wilds","ngf-tests","Tue Mar 24 11:47:54 UTC 2026","passed","Tue Mar 24 11:48:01 UTC 2026","","ngf.test.js","",""
"","9880","Create a structure page on PoE 2 project","ngf-tests","Tue Mar 24 11:37:30 UTC 2026","passed","Tue Mar 24 11:37:40 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","4006","View mode of the ""/qa-not-delete-st-page"" structure page is available for the Admin role","ngf-tests","Tue Mar 24 11:45:25 UTC 2026","passed","Tue Mar 24 11:45:29 UTC 2026","Admin permission","ngf.test.js","",""
"","257","setup add free user","user-roles-setup","Tue Mar 24 11:50:00 UTC 2026","passed","Tue Mar 24 11:50:00 UTC 2026","","setup/userRoles.setup.test.js","",""
"","3389","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - TFT in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:50:08 UTC 2026","passed","Tue Mar 24 11:50:11 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","7075","Create a guide page on Overwatch project","ngf-tests","Tue Mar 24 11:42:46 UTC 2026","passed","Tue Mar 24 11:42:53 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","8347","Create a structure page on PoE project","ngf-tests","Tue Mar 24 11:37:40 UTC 2026","passed","Tue Mar 24 11:37:49 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","5300","Create a tier-list page on The Bazaar project","ngf-tests","Tue Mar 24 11:44:32 UTC 2026","passed","Tue Mar 24 11:44:37 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","6158","Create a tier-list page on Deadlock project","ngf-tests","Tue Mar 24 11:44:12 UTC 2026","passed","Tue Mar 24 11:44:18 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","2810","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - PoE in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:50:56 UTC 2026","passed","Tue Mar 24 11:50:59 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","6186","Game Manager can upload a video to CDN on the structure pages","ngf-tests","Tue Mar 24 11:47:05 UTC 2026","passed","Tue Mar 24 11:47:11 UTC 2026","Game Manager permission","ngf.test.js","",""
"","5191","Check static data on NGF Nightreign","ngf-tests","Tue Mar 24 11:47:49 UTC 2026","passed","Tue Mar 24 11:47:54 UTC 2026","","ngf.test.js","",""
"","7182","Check static data on NGF ZZZ","ngf-tests","Tue Mar 24 11:47:36 UTC 2026","passed","Tue Mar 24 11:47:44 UTC 2026","","ngf.test.js","",""
"","6697","Create a build page on ZZZ project","ngf-tests","Tue Mar 24 11:39:29 UTC 2026","passed","Tue Mar 24 11:39:35 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","7750","Admin role can delete the structure page on the ST page","ngf-tests","Tue Mar 24 11:45:51 UTC 2026","passed","Tue Mar 24 11:45:59 UTC 2026","Admin permission","ngf.test.js","",""
"","7232","Create a build page on Overwatch project","ngf-tests","Tue Mar 24 11:40:43 UTC 2026","passed","Tue Mar 24 11:40:50 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","3059","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - PoE 2 in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:50:53 UTC 2026","passed","Tue Mar 24 11:50:56 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","9812","Admin role can upload a video to CDN on the structure pages","ngf-tests","Tue Mar 24 11:46:14 UTC 2026","passed","Tue Mar 24 11:46:24 UTC 2026","Admin permission","ngf.test.js","",""
"","8496","Game Manager role can can upload an image to CDN on the ug page","ngf-tests","Tue Mar 24 11:47:11 UTC 2026","passed","Tue Mar 24 11:47:19 UTC 2026","Game Manager permission","ngf.test.js","",""
"","6181","Create a tier-list page on Val project","ngf-tests","Tue Mar 24 11:42:59 UTC 2026","passed","Tue Mar 24 11:43:05 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","6100","Create a tier-list page on Riftbound project","ngf-tests","Tue Mar 24 11:43:12 UTC 2026","passed","Tue Mar 24 11:43:18 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","5349","Create a tier-list page on Marathon project","ngf-tests","Tue Mar 24 11:44:43 UTC 2026","passed","Tue Mar 24 11:44:48 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","6262","Create a build page on Hades 2 project","ngf-tests","Tue Mar 24 11:40:00 UTC 2026","passed","Tue Mar 24 11:40:07 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","3565","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - ZZZ in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:50:25 UTC 2026","passed","Tue Mar 24 11:50:28 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","5461","Create a build page on Marvel Rivals project","ngf-tests","Tue Mar 24 11:39:23 UTC 2026","passed","Tue Mar 24 11:39:29 UTC 2026","Creating UG Pages","ngf.test.js","",""
"","8673","Create a structure page on Nightreign project","ngf-tests","Tue Mar 24 11:37:49 UTC 2026","passed","Tue Mar 24 11:37:57 UTC 2026","Creating ST Pages","ngf.test.js","",""
"","4480","Check video block, footer banner, L vertical banner, S vertical banner for unauthorized user - Hades 2 in desktop at 1680x1050 viewport size","advertisement-tests","Tue Mar 24 11:50:42 UTC 2026","passed","Tue Mar 24 11:50:46 UTC 2026","Verify ad blocks within the desktop viewport range (>1412px) for different user roles","advertisement.test.js","",""
"","5911","Create a guide page on Riftbound project","ngf-tests","Tue Mar 24 11:41:09 UTC 2026","passed","Tue Mar 24 11:41:15 UTC 2026","Creating UG Pages","ngf.test.js","",""
