"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21393","Create a build page on Marvel Rivals project","ngf-tests","Thu Oct 30 12:54:19 UTC 2025","passed","Thu Oct 30 12:54:41 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","940","Checking sitemap for Sitemap game on https://mobalytics.gg/sitemap.xml","sitemap-tests","Thu Oct 30 12:51:55 UTC 2025","passed","Thu Oct 30 12:51:56 UTC 2025","","sitemap.test.js","",""
"","21948","Create a guide page on Hades 2 project","ngf-tests","Thu Oct 30 12:56:06 UTC 2025","passed","Thu Oct 30 12:56:27 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","6693","Check the availability of advertising blocks for Monster Hunter Wilds game","advertisement-tests","Thu Oct 30 12:51:34 UTC 2025","passed","Thu Oct 30 12:51:41 UTC 2025","","advertisement.test.js","",""
"","594","setup game manager","setup","Thu Oct 30 12:51:09 UTC 2025","passed","Thu Oct 30 12:51:10 UTC 2025","","setup/auth.setup.test.js","",""
"","22788","Create a tier list page on Deadlock project","ngf-tests","Thu Oct 30 12:57:30 UTC 2025","passed","Thu Oct 30 12:57:53 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","22667","Create a build page on LoL project","ngf-tests","Thu Oct 30 12:53:57 UTC 2025","passed","Thu Oct 30 12:54:19 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","29910","Create a structure page on MHW project","ngf-tests","Thu Oct 30 12:53:02 UTC 2025","passed","Thu Oct 30 12:53:32 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","29972","Create a structure page on Diablo 4 project","ngf-tests","Thu Oct 30 12:51:59 UTC 2025","passed","Thu Oct 30 12:52:29 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","686","Checking sitemap for Product Sitemap game on https://mobalytics.gg/sitemap.xml","sitemap-tests","Thu Oct 30 12:51:53 UTC 2025","passed","Thu Oct 30 12:51:53 UTC 2025","","sitemap.test.js","",""
"","589","Checking sitemap for Destiny 2 game on https://mobalytics.gg/sitemap.xml","sitemap-tests","Thu Oct 30 12:51:54 UTC 2025","passed","Thu Oct 30 12:51:55 UTC 2025","","sitemap.test.js","",""
"","1677","Check API admin permission","ngf-tests","Thu Oct 30 12:59:01 UTC 2025","passed","Thu Oct 30 12:59:03 UTC 2025","Admin permission","ngf.test.js","",""
